Node 1,Node 2,Weight,Count 1,Count 2
"qayyum, a","schabath, mb",1,1,1
"lam, c","schabath, mb",1,2,1
"gatenby, ra","schabath, mb",1,1,1
"rasool, g","schabath, mb",1,2,1
"araujo, c","qayyum, a",1,1,1
"araujo, c","lam, c",1,1,2
"araujo, c","gatenby, ra",1,1,1
"araujo, c","rasool, g",1,1,2
"lam, c","qayyum, a",1,2,1
"gatenby, ra","qayyum, a",1,1,1
"qayyum, a","rasool, g",1,1,2
"gatenby, ra","lam, c",1,1,2
"lam, c","rasool, g",1,2,2
"gatenby, ra","rasool, g",1,1,2
"lyu, y","ruan, w",1,3,1
"ruan, w","zhang, j",1,1,23
"cai, jz","ruan, w",1,2,1
"ruan, w","shu, p",1,1,1
"ge, y","ruan, w",1,1,1
"lu, y","ruan, w",1,7,1
"gao, s","ruan, w",1,6,1
"ruan, w","wang, y",1,1,41
"ruan, w","wang, pl",1,1,2
"ruan, w","zhao, l",1,1,6
"ruan, w","wang, t",1,1,10
"liu, yf","ruan, w",1,10,1
"fang, ly","ruan, w",1,1,1
"liu, zy","ruan, w",1,8,1
"liu, zl","ruan, w",1,4,1
"li, yw","ruan, w",1,5,1
"ruan, w","wu, zh",1,1,4
"chen, jh","ruan, w",1,5,1
"jiang, hq","ruan, w",1,1,1
"pan, y","ruan, w",1,4,1
"ruan, w","yang, zy",1,1,5
"chen, jy","ruan, w",1,9,1
"liang, sz","ruan, w",1,1,1
"ruan, w","zhang, w",1,1,11
"ma, t","ruan, w",1,7,1
"dou, y","ruan, w",1,1,1
"ruan, w","zhang, jl",1,1,2
"gong, xy","ruan, w",1,3,1
"gan, q","ruan, w",1,1,1
"ruan, w","zou, ys",1,1,1
"chen, zb","ruan, w",1,1,1
"qian, yx","ruan, w",1,1,1
"ruan, w","yu, s",1,1,2
"lu, j","ruan, w",1,9,1
"ruan, w","song, kn",1,1,1
"ruan, w","wang, xq",1,1,3
"ruan, w","sikora, a",1,1,1
"li, g","ruan, w",1,9,1
"li, x","ruan, w",1,27,1
"li, qz","ruan, w",1,2,1
"ruan, w","wang, yf",1,1,14
"ruan, w","zhang, l",1,1,17
"abate, y","ruan, w",1,1,1
"he, lf","ruan, w",1,1,1
"ruan, w","zhong, wx",1,1,1
"liu, rj","ruan, w",1,4,1
"huang, c","ruan, w",1,5,1
"liu, w","ruan, w",1,10,1
"ruan, w","shen, y",1,1,7
"ma, p","ruan, w",1,3,1
"ruan, w","zhu, ht",1,1,1
"ruan, w","yan, yj",1,1,1
"ruan, w","zhu, dj",1,1,1
"liu, tm","ruan, w",1,3,1
"lyu, y","zhang, j",1,3,23
"cai, jz","lyu, y",1,2,3
"lyu, y","shu, p",1,3,1
"ge, y","lyu, y",1,1,3
"lu, y","lyu, y",1,7,3
"gao, s","lyu, y",1,6,3
"lyu, y","wang, y",1,3,41
"lyu, y","wang, pl",1,3,2
"lyu, y","zhao, l",1,3,6
"lyu, y","wang, t",1,3,10
"liu, yf","lyu, y",1,10,3
"fang, ly","lyu, y",1,1,3
"liu, zy","lyu, y",1,8,3
"liu, zl","lyu, y",1,4,3
"li, yw","lyu, y",1,5,3
"lyu, y","wu, zh",1,3,4
"chen, jh","lyu, y",1,5,3
"jiang, hq","lyu, y",1,1,3
"lyu, y","pan, y",1,3,4
"lyu, y","yang, zy",1,3,5
"chen, jy","lyu, y",1,9,3
"liang, sz","lyu, y",1,1,3
"lyu, y","zhang, w",1,3,11
"lyu, y","ma, t",1,3,7
"dou, y","lyu, y",1,1,3
"lyu, y","zhang, jl",1,3,2
"gong, xy","lyu, y",1,3,3
"gan, q","lyu, y",1,1,3
"lyu, y","zou, ys",1,3,1
"chen, zb","lyu, y",1,1,3
"lyu, y","qian, yx",1,3,1
"lyu, y","yu, s",1,3,2
"lu, j","lyu, y",1,9,3
"lyu, y","song, kn",1,3,1
"lyu, y","wang, xq",1,3,3
"lyu, y","sikora, a",1,3,1
"li, g","lyu, y",1,9,3
"li, x","lyu, y",1,27,3
"li, qz","lyu, y",1,2,3
"lyu, y","wang, yf",1,3,14
"lyu, y","zhang, l",1,3,17
"abate, y","lyu, y",1,1,3
"he, lf","lyu, y",1,1,3
"lyu, y","zhong, wx",1,3,1
"liu, rj","lyu, y",1,4,3
"huang, c","lyu, y",1,5,3
"liu, w","lyu, y",1,10,3
"lyu, y","shen, y",1,3,7
"lyu, y","ma, p",1,3,3
"lyu, y","zhu, ht",1,3,1
"lyu, y","yan, yj",1,3,1
"lyu, y","zhu, dj",1,3,1
"liu, tm","lyu, y",1,3,3
"cai, jz","zhang, j",1,2,23
"shu, p","zhang, j",1,1,23
"ge, y","zhang, j",1,1,23
"lu, y","zhang, j",1,7,23
"gao, s","zhang, j",1,6,23
"wang, y","zhang, j",1,41,23
"wang, pl","zhang, j",1,2,23
"zhang, j","zhao, l",1,23,6
"wang, t","zhang, j",1,10,23
"liu, yf","zhang, j",1,10,23
"fang, ly","zhang, j",1,1,23
"liu, zy","zhang, j",2,8,23
"liu, zl","zhang, j",1,4,23
"li, yw","zhang, j",1,5,23
"wu, zh","zhang, j",1,4,23
"chen, jh","zhang, j",1,5,23
"jiang, hq","zhang, j",1,1,23
"pan, y","zhang, j",1,4,23
"yang, zy","zhang, j",1,5,23
"chen, jy","zhang, j",1,9,23
"liang, sz","zhang, j",1,1,23
"zhang, j","zhang, w",2,23,11
"ma, t","zhang, j",1,7,23
"dou, y","zhang, j",1,1,23
"zhang, j","zhang, jl",1,23,2
"gong, xy","zhang, j",1,3,23
"gan, q","zhang, j",1,1,23
"zhang, j","zou, ys",1,23,1
"chen, zb","zhang, j",1,1,23
"qian, yx","zhang, j",1,1,23
"yu, s","zhang, j",1,2,23
"lu, j","zhang, j",1,9,23
"song, kn","zhang, j",1,1,23
"wang, xq","zhang, j",2,3,23
"sikora, a","zhang, j",1,1,23
"li, g","zhang, j",1,9,23
"li, x","zhang, j",1,27,23
"li, qz","zhang, j",1,2,23
"wang, yf","zhang, j",1,14,23
"zhang, j","zhang, l",1,23,17
"abate, y","zhang, j",1,1,23
"he, lf","zhang, j",1,1,23
"zhang, j","zhong, wx",1,23,1
"liu, rj","zhang, j",1,4,23
"huang, c","zhang, j",1,5,23
"liu, w","zhang, j",1,10,23
"shen, y","zhang, j",1,7,23
"ma, p","zhang, j",1,3,23
"zhang, j","zhu, ht",1,23,1
"yan, yj","zhang, j",1,1,23
"zhang, j","zhu, dj",1,23,1
"liu, tm","zhang, j",1,3,23
"cai, jz","shu, p",1,2,1
"cai, jz","ge, y",1,2,1
"cai, jz","lu, y",1,2,7
"cai, jz","gao, s",1,2,6
"cai, jz","wang, y",1,2,41
"cai, jz","wang, pl",1,2,2
"cai, jz","zhao, l",1,2,6
"cai, jz","wang, t",1,2,10
"cai, jz","liu, yf",1,2,10
"cai, jz","fang, ly",1,2,1
"cai, jz","liu, zy",1,2,8
"cai, jz","liu, zl",1,2,4
"cai, jz","li, yw",1,2,5
"cai, jz","wu, zh",1,2,4
"cai, jz","chen, jh",1,2,5
"cai, jz","jiang, hq",1,2,1
"cai, jz","pan, y",1,2,4
"cai, jz","yang, zy",1,2,5
"cai, jz","chen, jy",1,2,9
"cai, jz","liang, sz",1,2,1
"cai, jz","zhang, w",1,2,11
"cai, jz","ma, t",1,2,7
"cai, jz","dou, y",1,2,1
"cai, jz","zhang, jl",1,2,2
"cai, jz","gong, xy",1,2,3
"cai, jz","gan, q",1,2,1
"cai, jz","zou, ys",1,2,1
"cai, jz","chen, zb",1,2,1
"cai, jz","qian, yx",1,2,1
"cai, jz","yu, s",1,2,2
"cai, jz","lu, j",1,2,9
"cai, jz","song, kn",1,2,1
"cai, jz","wang, xq",1,2,3
"cai, jz","sikora, a",1,2,1
"cai, jz","li, g",1,2,9
"cai, jz","li, x",1,2,27
"cai, jz","li, qz",1,2,2
"cai, jz","wang, yf",1,2,14
"cai, jz","zhang, l",1,2,17
"abate, y","cai, jz",1,1,2
"cai, jz","he, lf",1,2,1
"cai, jz","zhong, wx",1,2,1
"cai, jz","liu, rj",1,2,4
"cai, jz","huang, c",1,2,5
"cai, jz","liu, w",1,2,10
"cai, jz","shen, y",1,2,7
"cai, jz","ma, p",1,2,3
"cai, jz","zhu, ht",1,2,1
"cai, jz","yan, yj",1,2,1
"cai, jz","zhu, dj",1,2,1
"cai, jz","liu, tm",1,2,3
"ge, y","shu, p",1,1,1
"lu, y","shu, p",1,7,1
"gao, s","shu, p",1,6,1
"shu, p","wang, y",1,1,41
"shu, p","wang, pl",1,1,2
"shu, p","zhao, l",1,1,6
"shu, p","wang, t",1,1,10
"liu, yf","shu, p",1,10,1
"fang, ly","shu, p",1,1,1
"liu, zy","shu, p",1,8,1
"liu, zl","shu, p",1,4,1
"li, yw","shu, p",1,5,1
"shu, p","wu, zh",1,1,4
"chen, jh","shu, p",1,5,1
"jiang, hq","shu, p",1,1,1
"pan, y","shu, p",1,4,1
"shu, p","yang, zy",1,1,5
"chen, jy","shu, p",1,9,1
"liang, sz","shu, p",1,1,1
